Destination Country,Origin Country,2015,2016,2017,2018,2019,2020
Indonesia,Australia [AU],1099058,1302292,1256927,1301478,1386803,256291
Indonesia,China [CN],1260700,1556771,2093171,2139161,2072252,239768
Indonesia,Japan [JP],549705,545392,573310,530573,519623,92228
Indonesia,India [IN],319608,422045,536902,595636,657300,111724
Indonesia,New Zealand [NZ],87923,105393,106914,128366,149010,19947
Indonesia,Italy [IT],69427,79424,90022,94288,91229,13260
Indonesia,Canada [CA],75816,86804,96139,97908,103616,23200
Indonesia,Netherlands [NL],175317,200811,210426,209978,215287,53495
Indonesia,France [FR],212575,256229,274117,287917,283814,43438
Indonesia,Germany [DE],203611,243873,267823,274166,277653,46361
Indonesia,Saudi Arabia [SA],164778,197681,182086,165912,157512,31906
Indonesia,United Kingdom [GB],292745,352017,378131,392112,397684,69997
Indonesia,United States [US],276027,316782,344766,387856,457832,91782
